"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"1/23/2020","9334566","1579738185","3921630982786","1.9.9"
"1/23/2020","9340885","1579821631","3927466589131","1.9.9"
"1/25/2020","9347661","1579910999","3927715036296","1.9.9"
"1/26/2020","9354147","1579997380","3932621904836","1.9.9"
"1/27/2020","9360647","1580083800","3937846560954","1.9.9"
"1/27/2020","9365065","1580142024","3941032217420","1.9.9"
"1/29/2020","9373701","1580256573","3946440375714","1.9.10"
"1/30/2020","9380267","1580343028","3951693776660","1.9.10"
"1/31/2020","9386696","1580429388","3955129845604","1.9.10"
"2/1/2020","9393190","1580515796","3959642671110","1.9.10"
"2/2/2020","9399687","1580602188","3964876122519","1.9.10"
"2/3/2020","9406224","1580688586","3969462347934","1.9.10"
"2/4/2020","9412749","1580774972","3974684427155","1.9.10"
"2/5/2020","9419324","1580861456","3978965588615","1.9.10"
"2/6/2020","9425728","1580947237","3983973903701","1.9.10"
"2/7/2020","9432289","1581034176","3987811236265","1.9.10"
"2/8/2020","9438959","1581122837","3993795570733","1.9.10"
"2/8/2020","9444901","1581202457","3999706507146","1.9.10"
"2/10/2020","9451753","1581293355","4004614782619","1.9.10"
"2/11/2020","9458348","1581379797","4008340504252","1.9.10"
"2/12/2020","9464867","1581466150","4013079575273","1.9.10"
"2/13/2020","9471309","1581552298","4019921223097","1.9.10"
"2/14/2020","9477828","1581638969","4026443262574","1.9.10"
"2/15/2020","9484412","1581726638","4031175798937","1.9.10"
"2/16/2020","9490770","1581811745","4033869550784","1.9.10"
"2/17/2020","9497329","1581898175","4041544996434","1.9.10"
"2/18/2020","9503747","1581984073","4046601593982","1.9.10"
"2/19/2020","9510268","1582070997","4049229213846","1.9.10"
"2/20/2020","9516824","1582157395","4054981435765","1.9.10"
"2/21/2020","9523309","1582243793","4059960948330","1.9.10"
"2/22/2020","9529774","1582330177","4067429399955","1.9.10"
"2/23/2020","9536302","1582416428","4071051089089","1.9.10"
"2/24/2020","9542839","1582502975","4074260634556","1.9.10"
"2/25/2020","9549303","1582589371","4079544635012","1.9.10"
"2/26/2020","9555773","1582675771","4085925972187","1.9.11"
"2/27/2020","9562297","1582762164","4091468340335","1.9.11"
"2/28/2020","9568815","1582848591","4098561255694","1.9.11"
"2/29/2020","9575321","1582934985","4103837185321","1.9.11"
"3/1/2020","9581832","1583021385","4107052329478","1.9.11"
"3/2/2020","9588332","1583107744","4112328763193","1.9.11"
"3/3/2020","9594861","1583194148","4116203714359","1.9.11"
"3/4/2020","9601362","1583280572","4121051847816","1.9.11"
"3/5/2020","9607895","1583366989","4129428568543","1.9.11"
"3/6/2020","9614312","1583453350","4134073019147","1.9.11"
"3/7/2020","9620878","1583539770","4139015567482","1.9.11"
"3/8/2020","9627414","1583626131","4143774788750","1.9.11"
"3/9/2020","9633964","1583712597","4149002481972","1.9.11"
"3/10/2020","9640396","1583798980","4153069337685","1.9.11"
"3/11/2020","9646913","1583885463","4160287848338","1.9.11"
"3/12/2020","9653425","1583971779","4165464880662","1.9.11"
"3/13/2020","9659883","1584058197","4169430233198","1.9.11"
"3/14/2020","9666266","1584144579","4176079361614","1.9.11"
"3/15/2020","9672738","1584230994","4182523605997","1.9.11"
